data;id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-09-11 14:30:40;0;Rio de Janeiro;Juliana Almeida;Smartphone Samsung Galaxy;Dorothy Brown;feminino;pix
2024-09-11 15:41:38;1;Florianópolis;Tiago Lima;Mouse Gamer Logitech;Leo Smith;masculino;cartão de crédito
2024-09-11 16:34:34;2;Belo Horizonte;Carlos Silva;Smartwatch Garmin;Alice Hunt;feminino;cartão de crédito
2024-09-11 17:26:35;3;Recife;Ricardo Mendes;Tablet Apple Ipad;June Faulkner;feminino;pix
2024-09-11 18:55:38;4;Florianópolis;Tiago Lima;Monitor LG Ultrawide;Russell Villarreal;masculino;boleto
2024-09-11 19:53:37;5;São Luís;Emanuelle Victoria;iPhone 13;Leland Onstott;masculino;pix
2024-09-11 21:14:33;6;Recife;Ricardo Mendes;Smartphone Samsung Galaxy;Carolyn Rapp;feminino;dinheiro
2024-09-11 21:22:37;7;São Paulo;Ana Oliveira;Smartwatch Garmin;Cassy Cadena;feminino;boleto
2024-09-11 22:02:37;8;São Luís;Brenno Pacheco;iPhone 13;Debra Lewis;feminino;dinheiro
2024-09-11 22:35:33;9;São Luís;Emanuelle Victoria;Tablet Apple Ipad;Elizabeth Franklin;feminino;cartão de crédito
2024-09-11 22:47:33;10;Porto Alegre;Roberto Ferreira;Mouse Gamer Logitech;Colleen Thomas;feminino;pix
2024-09-11 23:09:35;11;Florianópolis;Gabriela Santos;Notebook Dell Inspiron;Samuel Davidson;masculino;pix
2024-09-12 00:59:39;12;Porto Alegre;Roberto Ferreira;Câmera Canon EOS;Rita Leer;feminino;cartão de crédito
2024-09-12 16:41:38;13;Recife;Ricardo Mendes;Tablet Apple Ipad;Frank Harper;masculino;cartão de dédito
2024-09-12 17:13:34;14;Recife;Patrícia Carvalho;Câmera Canon EOS;Joyce Taylor;feminino;boleto
2024-09-12 17:34:33;15;Recife;Ricardo Mendes;Fone de Ouvido Sony;Randall Chavez;masculino;cartão de crédito
2024-09-12 19:42:37;16;Rio de Janeiro;Pedro Souza;Teclado Mecânico HyperX;Jeffery Robinson;masculino;dinheiro
2024-09-12 21:58:34;17;Porto Alegre;Mariana Gomes;Fone de Ouvido Sony;Ross Campbell;masculino;cartão de crédito
2024-09-12 22:52:30;18;Natal;Larissa Ferreira;iPhone 13;Maria Ray;feminino;cartão de dédito
2024-09-13 15:18:40;19;Rio de Janeiro;Juliana Almeida;Notebook Dell Inspiron;Griselda Nazario;feminino;pix
2024-09-13 16:01:34;20;Fortaleza;Beatriz Rocha;Smartwatch Garmin;Jon Williams;masculino;cartão de dédito
2024-09-13 16:41:32;21;Recife;Ricardo Mendes;Fone de Ouvido Sony;Mark Carter;masculino;boleto
2024-09-13 19:19:34;22;São Luís;Brenno Pacheco;iPhone 13;Wendy Titus;feminino;dinheiro
2024-09-13 19:25:38;23;Rio de Janeiro;Pedro Souza;Notebook Dell Inspiron;Leon Alexander;masculino;cartão de dédito
2024-09-13 20:10:38;24;São Paulo;Ana Oliveira;Monitor LG Ultrawide;James Day;masculino;pix
